Location,Temp©,Ph,Humidity (%),Air Quality,Day
G0,31.86,6.6,10.5,37,3
A1,31.86,5.8,62.26,37,3
B1,31.86,5.7,77.66,37,3
C1,31.86,4.2,41.58,37,3
D1,31.86,8.5,54.97,37,3
E1,31.86,7,72.5,37,3
F1,31.86,7.3,26.22,37,3
G1,31.86,6.7,21.41,37,3
A2,31.86,8.9,70.66,37,3
B2,31.86,7.6,23.42,37,3
C2,31.86,4,17.76,37,3
D2,31.86,6.4,98.02,37,3
E2,31.86,7.6,30.19,37,3
F2,31.86,5.2,84.59,37,3
G2,31.86,4.7,69.08,37,3
A3,31.86,6.9,66.81,37,3
B3,31.86,4.4,96.87,37,3
C3,31.86,7.6,89.09,37,3
D3,31.86,4.3,71.39,37,3
E3,31.86,3.5,66.27,37,3
F3,31.86,7.7,60.65,37,3
G3,31.86,6.3,84.56,37,3
A4,31.86,7.1,19.3,37,3
B4,31.86,5.5,78.19,37,3
C4,31.86,8.4,14.96,37,3
D4,31.86,5.3,24.33,37,3
E4,31.86,6.9,59.72,37,3
F4,31.86,3.7,80.83,37,3
G4,31.86,3.8,14.07,37,3
A5,31.86,6.4,39.28,37,3
B5,31.86,4,73.72,37,3
C5,31.86,8.3,21.8,37,3
D5,31.86,3.5,31.86,37,3
E5,31.86,8,11.76,37,3
F5,31.86,8.7,25.73,37,3
G5,31.86,6.6,13.71,37,3
A6,31.86,8.5,51.17,37,3
B6,31.86,5.4,46.38,37,3
C6,31.86,7.1,39.76,37,3
D6,31.86,6.2,40,37,3
E6,31.86,4.7,49.81,37,3
F6,31.86,8.7,24.42,37,3
G6,31.86,6.2,36.08,37,3
A7,31.86,5.2,91,37,3
B7,31.86,7.9,35.01,37,3
C7,31.86,4.4,80.95,37,3
D7,31.86,5.5,17.72,37,3
E7,31.86,7.9,44.77,37,3
F7,31.86,6.3,66,37,3
G7,31.86,7.3,52.16,37,3
A8,31.86,8.7,26.47,37,3
B8,31.86,3.5,90.5,37,3
C8,31.86,8.5,95.63,37,3
D8,31.86,8.3,90.23,37,3
E8,31.86,8.7,79.97,37,3
F8,31.86,4.2,48.08,37,3
G8,31.86,7.6,85.98,37,3
A9,31.86,8.7,16.43,37,3
B9,31.86,5.2,11.13,37,3
C9,31.86,6.4,85.63,37,3
D9,31.86,5.2,75.28,37,3
E9,31.86,5.6,89.13,37,3
F9,31.86,6.3,30.27,37,3
G9,31.86,6.5,20.48,37,3
A0,20.42,5.4,91.41,39,4
B0,20.42,7,39.91,39,4
C0,20.42,6.2,51.91,39,4
D0,20.42,7.3,74.46,39,4
E0,20.42,8.1,59.55,39,4
F0,20.42,7.5,65.97,39,4
G0,20.42,8.2,39.76,39,4
A1,20.42,5.8,81.29,39,4
B1,20.42,5.8,14.75,39,4
C1,20.42,6.1,24.87,39,4
D1,20.42,6.6,94.89,39,4
E1,20.42,5.7,57.82,39,4
F1,20.42,8.4,20.85,39,4
G1,20.42,4.1,89.09,39,4
A2,20.42,6,24.2,39,4
B2,20.42,8.2,51.15,39,4
C2,20.42,5.5,30.73,39,4
D2,20.42,3.9,10.43,39,4
E2,20.42,7,71.47,39,4
F2,20.42,8.6,62.82,39,4
G2,20.42,5.8,59.92,39,4
A3,20.42,4.8,34,39,4
B3,20.42,4.1,79.47,39,4
C3,20.42,8,10.43,39,4
D3,20.42,4.5,34.89,39,4
E3,20.42,7,72.75,39,4
F3,20.42,7.2,54.75,39,4
G3,20.42,3.9,52.67,39,4
A4,20.42,4.6,91.79,39,4
B4,20.42,4.9,71,39,4
C4,20.42,6.7,88.46,39,4
D4,20.42,4.7,53.3,39,4
E4,20.42,4,86.9,39,4
F4,20.42,7.1,44.16,39,4
G4,20.42,4.1,50.48,39,4
A5,20.42,5.4,97.14,39,4
B5,20.42,5.8,21.98,39,4
C5,20.42,4.7,72.93,39,4
D5,20.42,3.9,64.16,39,4
E5,20.42,5.4,39.45,39,4
F5,20.42,4,28.62,39,4
G5,20.42,5,72.97,39,4
A6,20.42,6.8,77.98,39,4
B6,20.42,5.8,83.34,39,4
C6,20.42,8.6,44.47,39,4
D6,20.42,5.6,92.31,39,4
E6,20.42,4.4,84.93,39,4
F6,20.42,5.7,57.09,39,4
G6,20.42,3.9,38.19,39,4
A7,20.42,8.8,60.05,39,4
B7,20.42,5.9,35.76,39,4
C7,20.42,5.9,50.42,39,4
D7,20.42,8,37.14,39,4
E7,20.42,4.1,98.2,39,4
F7,20.42,5.6,45.04,39,4
G7,20.42,6.7,19.13,39,4
A8,20.42,7.9,12.92,39,4
B8,20.42,5.8,32.07,39,4
C8,20.42,5.5,38.42,39,4
D8,20.42,6.8,92.5,39,4
E8,20.42,3.7,44.52,39,4
F8,20.42,5.2,63.62,39,4
G8,20.42,6.1,43.51,39,4
A9,20.42,8.8,14.93,39,4
B9,20.42,6.1,78.11,39,4
C9,20.42,7.3,61.73,39,4
D9,20.42,4.5,65.72,39,4
E9,20.42,5.5,67.16,39,4
F9,20.42,7.7,90.57,39,4
G9,20.42,5.8,10.38,39,4
A0,23.68,3.8,14.02,36,5
B0,23.68,7.7,92.64,36,5
C0,23.68,3.9,25.76,36,5
D0,23.68,6.9,75.39,36,5
E0,23.68,6.8,50.6,36,5
F0,23.68,4.7,40.82,36,5
G0,23.68,5.3,28.64,36,5
A1,23.68,5.7,28.55,36,5
B1,23.68,4.2,38.68,36,5
C1,23.68,6.8,29.41,36,5
D1,23.68,8.9,85.94,36,5
E1,23.68,7.2,36.18,36,5
F1,23.68,5.5,96.9,36,5
G1,23.68,6.3,78.92,36,5
A2,23.68,8.8,44.52,36,5
B2,23.68,8.9,39.81,36,5
C2,23.68,6.1,14.61,36,5
D2,23.68,6.6,99.24,36,5
E2,23.68,4.2,14.4,36,5
F2,23.68,8.4,42.41,36,5
G2,23.68,4.4,12.87,36,5
A3,23.68,7.4,54.98,36,5
B3,23.68,5.7,55.07,36,5
C3,23.68,4.4,84.07,36,5
D3,23.68,6.8,84.59,36,5
E3,23.68,4,75.52,36,5
F3,23.68,3.9,42.41,36,5
G3,23.68,5.1,34.85,36,5
A4,23.68,4.9,45.25,36,5
B4,23.68,6.1,21.93,36,5
C4,23.68,7.3,90.28,36,5
D4,23.68,7.9,11.62,36,5
E4,23.68,4,27.81,36,5
F4,23.68,3.8,90.65,36,5
G4,23.68,7.3,21.08,36,5
A5,23.68,7.4,68.41,36,5
B5,23.68,3.9,91.26,36,5
C5,23.68,6.3,70,36,5
D5,23.68,7.8,72.56,36,5
E5,23.68,6.6,12.08,36,5
F5,23.68,6.9,92.86,36,5
G5,23.68,8.4,96.18,36,5
A6,23.68,5,66.92,36,5
B6,23.68,7,77.73,36,5
C6,23.68,6.3,56.35,36,5
D6,23.68,7.8,19.04,36,5
E6,23.68,7.8,60.07,36,5
F6,23.68,8.8,68.86,36,5
G6,23.68,8.1,94.44,36,5
A7,23.68,5,94.84,36,5
B7,23.68,4.7,93.06,36,5
C7,23.68,5.8,53.53,36,5
D7,23.68,7.7,83.41,36,5
E7,23.68,3.7,64.25,36,5
F7,23.68,7.7,87.61,36,5
G7,23.68,8.5,66.53,36,5
A8,23.68,4.1,17.69,36,5
B8,23.68,8,43.48,36,5
C8,23.68,6.8,92.59,36,5
D8,23.68,8,60.97,36,5
E8,23.68,6.2,98.41,36,5
F8,23.68,5.4,46.51,36,5
G8,23.68,3.7,61.25,36,5
A9,23.68,3.8,76.82,36,5
B9,23.68,7.9,13.22,36,5
C9,23.68,3.7,14.22,36,5
D9,23.68,4.4,25.84,36,5
E9,23.68,8.7,44.64,36,5
F9,23.68,3.7,27.85,36,5
G9,23.68,6.1,20.8,36,5
A0,29.52,7.9,80.09,10,6
B0,29.52,9,66.27,10,6
C0,29.52,6.5,61.68,10,6
D0,29.52,7.8,72.73,10,6
E0,29.52,7.9,54.08,10,6
F0,29.52,3.5,68.96,10,6
G0,29.52,6,81.97,10,6
A1,29.52,9,93.98,10,6
B1,29.52,6.7,57.06,10,6
C1,29.52,6.1,33.13,10,6
D1,29.52,4.6,58.12,10,6
E1,29.52,7.9,10.1,10,6
F1,29.52,6.1,31.08,10,6
G1,29.52,5.7,90.75,10,6
A2,29.52,4.6,17.9,10,6
B2,29.52,8.8,65.85,10,6
C2,29.52,6.1,12.76,10,6
D2,29.52,3.6,73.41,10,6
E2,29.52,5.4,88.93,10,6
F2,29.52,8.6,39.69,10,6
G2,29.52,7.9,94.49,10,6
A3,29.52,4.8,62.71,10,6
B3,29.52,7.7,65.54,10,6
C3,29.52,3.7,59.95,10,6
D3,29.52,7,13.56,10,6
E3,29.52,7.4,67.9,10,6
F3,29.52,4.3,84.81,10,6
G3,29.52,6.8,54.7,10,6
A4,29.52,7.5,69.08,10,6
B4,29.52,4.7,63.33,10,6
C4,29.52,8.3,78.01,10,6
D4,29.52,8.1,16.33,10,6
E4,29.52,3.7,51.39,10,6
F4,29.52,4.2,43.95,10,6
G4,29.52,7,49.92,10,6
A5,29.52,6,56.15,10,6
B5,29.52,6,52.48,10,6
C5,29.52,7.1,66,10,6
D5,29.52,8,26.17,10,6
E5,29.52,6,59.33,10,6
F5,29.52,4.5,62.94,10,6
G5,29.52,5.2,12.38,10,6
A6,29.52,7.7,66.6,10,6
B6,29.52,5.5,69.51,10,6
C6,29.52,8.3,18.85,10,6
D6,29.52,7.3,19.57,10,6
E6,29.52,7.3,37.75,10,6
F6,29.52,6.4,21.3,10,6
G6,29.52,6.8,61.68,10,6
A7,29.52,4.3,18.35,10,6
B7,29.52,8.8,82.25,10,6
C7,29.52,4.3,36.57,10,6
D7,29.52,8.1,16.92,10,6
E7,29.52,3.8,37.98,10,6
F7,29.52,4.5,83.07,10,6
G7,29.52,5.2,74.7,10,6
A8,29.52,8.2,98.81,10,6
B8,29.52,8,74.37,10,6
C8,29.52,3.8,94.18,10,6
D8,29.52,3.8,50.35,10,6
E8,29.52,6.1,26.61,10,6
F8,29.52,8.9,44.44,10,6
G8,29.52,8.5,42.53,10,6
A9,29.52,6.2,26.64,10,6
B9,29.52,8.2,54.23,10,6
C9,29.52,5.9,73.75,10,6
D9,29.52,6.1,50.85,10,6
E9,29.52,7.6,40.46,10,6
F9,29.52,3.5,24,10,6
G9,29.52,5.2,30.76,10,6
A0,25.14,5.3,26.01,34,7
B0,25.14,6.6,82.5,34,7
C0,25.14,5.5,91.79,34,7
D0,25.14,4.6,77.43,34,7
E0,25.14,8.8,92.07,34,7
F0,25.14,5.8,84.15,34,7
G0,25.14,7.7,22.06,34,7
A1,25.14,6,17.81,34,7
B1,25.14,4.7,13.8,34,7
C1,25.14,4.5,34.07,34,7
D1,25.14,8,33.12,34,7
E1,25.14,4.7,67.7,34,7
F1,25.14,3.5,47.79,34,7
G1,25.14,5.7,16.83,34,7
A2,25.14,6.7,15.1,34,7
B2,25.14,3.7,36.98,34,7
C2,25.14,4.6,82.6,34,7
D2,25.14,8.5,13.73,34,7
E2,25.14,6.5,76.89,34,7
F2,25.14,4.9,28.06,34,7
G2,25.14,4.8,25.13,34,7
A3,25.14,9,64.41,34,7
B3,25.14,5.9,16.13,34,7
C3,25.14,5.6,62.93,34,7
D3,25.14,6.4,87.36,34,7
E3,25.14,6.3,63.22,34,7
F3,25.14,7.2,94.79,34,7
G3,25.14,4.6,14.55,34,7
A4,25.14,5.2,51.23,34,7
B4,25.14,5.4,54.21,34,7
C4,25.14,5,85.03,34,7
D4,25.14,5.6,45.64,34,7
E4,25.14,7.9,96.65,34,7
F4,25.14,3.8,96.99,34,7
G4,25.14,8.5,84.86,34,7
A5,25.14,8.8,11.84,34,7
B5,25.14,5.1,16.68,34,7
C5,25.14,8.5,33.38,34,7
D5,25.14,5.8,75.25,34,7
E5,25.14,4.5,43.08,34,7
F5,25.14,7.4,42.7,34,7
G5,25.14,7.2,64.26,34,7
A6,25.14,8.6,17.77,34,7
B6,25.14,7.5,85.75,34,7
C6,25.14,4,59.82,34,7
D6,25.14,4.9,66.93,34,7
E6,25.14,5.4,76.81,34,7
F6,25.14,7.6,67.99,34,7
G6,25.14,6.1,98.21,34,7
A7,25.14,6.3,12.49,34,7
B7,25.14,8.4,85.8,34,7
C7,25.14,8.9,12.44,34,7
D7,25.14,6.4,84.76,34,7
E7,25.14,5.5,27.15,34,7
F7,25.14,5,47.33,34,7
G7,25.14,6.8,67.97,34,7
A8,25.14,4.7,63.45,34,7
B8,25.14,6.7,24.7,34,7
C8,25.14,5,37.41,34,7
D8,25.14,4.4,20.33,34,7
E8,25.14,7.9,51.03,34,7
F8,25.14,5.4,13.8,34,7
G8,25.14,5,19.34,34,7
A9,25.14,6.6,45.37,34,7
B9,25.14,3.7,65.41,34,7
C9,25.14,7.6,41.41,34,7
D9,25.14,4.4,93.46,34,7
E9,25.14,8.3,80.1,34,7
F9,25.14,8.1,36.69,34,7
G9,25.14,6.1,60.05,34,7
A0,26.26,8,74.84,51,8
B0,26.26,5.3,62.48,51,8
C0,26.26,6.8,26.09,51,8
D0,26.26,5.6,58.91,51,8
E0,26.26,8.2,25.22,51,8
F0,26.26,6.5,90.18,51,8
G0,26.26,5.8,24.06,51,8
A1,26.26,7.3,91.36,51,8
B1,26.26,6.2,54.17,51,8
C1,26.26,4.3,84.6,51,8
D1,26.26,4.4,19.98,51,8
E1,26.26,4.9,14.68,51,8
F1,26.26,8.7,82.46,51,8
G1,26.26,3.7,81.55,51,8
A2,26.26,7.9,66.08,51,8
B2,26.26,4.2,46.62,51,8
C2,26.26,8.7,57.3,51,8
D2,26.26,4.3,71.99,51,8
E2,26.26,5,17.62,51,8
F2,26.26,6.7,45.69,51,8
G2,26.26,6.8,27.93,51,8
A3,26.26,5.9,76.46,51,8
B3,26.26,6,39.01,51,8
C3,26.26,5.4,86.9,51,8
D3,26.26,5.4,21.41,51,8
E3,26.26,8.8,60.71,51,8
F3,26.26,5.7,33.11,51,8
G3,26.26,3.9,18.85,51,8
A4,26.26,8.5,66.27,51,8
B4,26.26,4.8,76.64,51,8
C4,26.26,4.5,81.11,51,8
D4,26.26,5.9,89.78,51,8
E4,26.26,7.6,48.8,51,8
F4,26.26,7.4,45.49,51,8
G4,26.26,6.3,82.84,51,8
A5,26.26,6.3,37.92,51,8
B5,26.26,8,40.96,51,8
C5,26.26,6.3,76.58,51,8
D5,26.26,5.3,69.44,51,8
E5,26.26,7.8,41.27,51,8
F5,26.26,6,72.39,51,8
G5,26.26,7,98.7,51,8
A6,26.26,4.2,11.25,51,8
B6,26.26,7.2,84.81,51,8
C6,26.26,7.3,20.59,51,8
D6,26.26,6.6,67.64,51,8
E6,26.26,6.9,86.34,51,8
F6,26.26,4.8,25.77,51,8
G6,26.26,6.4,45.79,51,8
A7,26.26,6.8,28.38,51,8
B7,26.26,4.4,31.91,51,8
C7,26.26,4.9,54.96,51,8
D7,26.26,5.6,31.43,51,8
E7,26.26,5.7,19.47,51,8
F7,26.26,4.1,12.83,51,8
G7,26.26,6.3,79.02,51,8
A8,26.26,8.6,20.07,51,8
B8,26.26,8.5,94.25,51,8
C8,26.26,7,69.49,51,8
D8,26.26,5.9,62.75,51,8
E8,26.26,5.5,57.96,51,8
F8,26.26,6.9,72.21,51,8
G8,26.26,8.2,71.05,51,8
A9,26.26,6.3,17.83,51,8
B9,26.26,6.1,43.79,51,8
C9,26.26,7,32.74,51,8
D9,26.26,5.7,48.84,51,8
E9,26.26,5.6,35.99,51,8
F9,26.26,6.9,21.76,51,8
G9,26.26,7.8,41.1,51,8
A0,20.6,6.2,74.59,18,9
B0,20.6,5.1,27.96,18,9
C0,20.6,8.5,88.41,18,9
D0,20.6,7.1,91.44,18,9
E0,20.6,7.4,52.36,18,9
F0,20.6,8,82.6,18,9
G0,20.6,5.4,10.65,18,9
A1,20.6,3.7,46.49,18,9
B1,20.6,6.8,11.15,18,9
C1,20.6,3.7,50.41,18,9
D1,20.6,6.8,49.88,18,9
E1,20.6,4.1,35.36,18,9
F1,20.6,6.5,49.07,18,9
G1,20.6,8.3,67.31,18,9
A2,20.6,3.8,27.65,18,9
B2,20.6,7.7,90.41,18,9
C2,20.6,5.2,42.26,18,9
D2,20.6,6,94.76,18,9
E2,20.6,5.3,36.24,18,9
F2,20.6,5.7,27.25,18,9
G2,20.6,5.8,16.05,18,9
A3,20.6,7.3,91.19,18,9
B3,20.6,4,88.05,18,9
C3,20.6,4.1,48.57,18,9
D3,20.6,8.4,33.34,18,9
E3,20.6,7.8,46.37,18,9
F3,20.6,3.6,51.29,18,9
G3,20.6,4.6,36.21,18,9
A4,20.6,4.8,30.21,18,9
B4,20.6,6.7,76.27,18,9
C4,20.6,5.8,60.69,18,9
D4,20.6,4.2,49.15,18,9
E4,20.6,5.7,96.29,18,9
F4,20.6,7.4,72.44,18,9
G4,20.6,8.3,87.24,18,9
A5,20.6,8.2,24.95,18,9
B5,20.6,8.3,10.61,18,9
C5,20.6,4.9,66.87,18,9
D5,20.6,5,84.31,18,9
E5,20.6,8.1,43.8,18,9
F5,20.6,8.8,48.7,18,9
G5,20.6,4.2,38.78,18,9
A6,20.6,3.8,72.79,18,9
B6,20.6,5.1,73.55,18,9
C6,20.6,5.4,22.67,18,9
D6,20.6,6.3,62.06,18,9
E6,20.6,6.2,43.48,18,9
F6,20.6,3.7,51.08,18,9
G6,20.6,4.2,71.14,18,9
A7,20.6,4.4,48.12,18,9
B7,20.6,6.2,44.89,18,9
C7,20.6,4.9,43.19,18,9
D7,20.6,6.7,45.33,18,9
E7,20.6,4.6,83.32,18,9
F7,20.6,4.5,29.91,18,9
G7,20.6,3.6,42.58,18,9
A8,20.6,8.8,99.28,18,9
B8,20.6,6.8,73.14,18,9
C8,20.6,6.4,91.31,18,9
D8,20.6,5.3,72.8,18,9
E8,20.6,4.8,22.26,18,9
F8,20.6,5,69.26,18,9
G8,20.6,5.5,41.12,18,9
A9,20.6,3.7,71.42,18,9
B9,20.6,6.9,62.24,18,9
C9,20.6,6.3,45.34,18,9
D9,20.6,6.4,57.55,18,9
E9,20.6,7.3,54,18,9
F9,20.6,7,12.89,18,9
G9,20.6,4.7,73.19,18,9
A0,29.12,4.5,58.11,25,10
B0,29.12,6.8,36.07,25,10
C0,29.12,7.2,93.53,25,10
D0,29.12,7.7,10.64,25,10
E0,29.12,6.9,27.52,25,10
F0,29.12,5.8,70.08,25,10
G0,29.12,4.1,45.76,25,10
A1,29.12,8.7,27.11,25,10
B1,29.12,5.2,79.73,25,10
C1,29.12,7.9,88.52,25,10
D1,29.12,7.7,26.18,25,10
E1,29.12,8.5,39.3,25,10
F1,29.12,4.2,72.11,25,10
G1,29.12,5.9,98.01,25,10
A2,29.12,6.1,43.43,25,10
B2,29.12,6.2,33.55,25,10
C2,29.12,5.2,34.99,25,10
D2,29.12,5.3,62.71,25,10
E2,29.12,8.5,19.52,25,10
F2,29.12,6.3,17.18,25,10
G2,29.12,5.2,93.59,25,10
A3,29.12,7.3,36.64,25,10
B3,29.12,8.1,49.35,25,10
C3,29.12,5.4,95.98,25,10
D3,29.12,6.8,15.85,25,10
E3,29.12,8.3,55.23,25,10
F3,29.12,4.2,88.46,25,10
G3,29.12,7,59.44,25,10
A4,29.12,6.1,20.02,25,10
B4,29.12,9,45.35,25,10
C4,29.12,4,76.29,25,10
D4,29.12,6.8,96.67,25,10
E4,29.12,8.6,68.25,25,10
F4,29.12,5,25.19,25,10
G4,29.12,6.6,70.24,25,10
A5,29.12,6.4,49.68,25,10
B5,29.12,6.2,50.95,25,10
C5,29.12,3.9,53.2,25,10
D5,29.12,7,42.67,25,10
E5,29.12,6.4,21.72,25,10
F5,29.12,4.6,30.71,25,10
G5,29.12,5.4,89.7,25,10
A6,29.12,5.2,49.35,25,10
B6,29.12,7.8,70.69,25,10
C6,29.12,7.2,49.95,25,10
D6,29.12,4.4,55.52,25,10
E6,29.12,4.7,61.65,25,10
F6,29.12,8,18.22,25,10
G6,29.12,7.5,66.14,25,10
A7,29.12,4.2,67.99,25,10
B7,29.12,4.5,37.29,25,10
C7,29.12,3.8,13.02,25,10
D7,29.12,4.2,33.83,25,10
E7,29.12,3.9,44.82,25,10
F7,29.12,6.6,99.76,25,10
G7,29.12,6,20.72,25,10
A8,29.12,4.7,94.2,25,10
B8,29.12,5,84.29,25,10
C8,29.12,7.1,52.84,25,10
D8,29.12,3.6,92.79,25,10
E8,29.12,3.5,90.2,25,10
F8,29.12,4.3,74.1,25,10
G8,29.12,6.6,84.89,25,10
A9,29.12,6.3,59.31,25,10
B9,29.12,6.7,70.2,25,10
C9,29.12,4.2,45.21,25,10
D9,29.12,6.9,98.63,25,10
E9,29.12,5.7,76.12,25,10
F9,29.12,7.6,63.98,25,10
G9,29.12,6.8,11.7,25,10
A0,16.05,5.5,17.55,15,11
B0,16.05,8.5,12.85,15,11
C0,16.05,7.7,37.07,15,11
D0,16.05,5,18.78,15,11
E0,16.05,6.7,33.93,15,11
F0,16.05,8.3,72.47,15,11
G0,16.05,4.7,36.96,15,11
A1,16.05,6,75.36,15,11
B1,16.05,5.7,70.17,15,11
C1,16.05,8.5,14.95,15,11
D1,16.05,7.8,86.75,15,11
E1,16.05,6.4,77.98,15,11
F1,16.05,8.9,43.76,15,11
G1,16.05,5.2,57.08,15,11
A2,16.05,5.8,95.79,15,11
B2,16.05,4.8,37.17,15,11
C2,16.05,5.1,62.49,15,11
D2,16.05,5.5,98.7,15,11
E2,16.05,4.6,73.23,15,11
F2,16.05,4.1,53.11,15,11
G2,16.05,6.6,71.33,15,11
A3,16.05,8.2,81.83,15,11
B3,16.05,7.6,49.16,15,11
C3,16.05,6,78.4,15,11
D3,16.05,6.6,17.09,15,11
E3,16.05,8.8,89.89,15,11
F3,16.05,7,47.67,15,11
G3,16.05,7.6,12.84,15,11
A4,16.05,5.7,25.31,15,11
B4,16.05,8.7,61.78,15,11
C4,16.05,8.3,47.65,15,11
D4,16.05,7.7,87.51,15,11
E4,16.05,3.5,27.47,15,11
F4,16.05,7.2,64.65,15,11
G4,16.05,4.3,98.27,15,11
A5,16.05,8.4,96.26,15,11
B5,16.05,3.7,13.15,15,11
C5,16.05,5.4,23.24,15,11
D5,16.05,6.8,89.12,15,11
E5,16.05,6,96.5,15,11
F5,16.05,8.3,41.69,15,11
G5,16.05,5.5,31.94,15,11
A6,16.05,8.7,34.74,15,11
